Date,Wind Speed,group1_windpower(kWh),group2_windpower(kWh),group3_windpower(kWh)
9-Feb,8.86,138351,202743,75466
10-Feb,8.34,130845,136776,46708
11-Feb,7.08,106744,107861,104224
12-Feb,10.93,225898,221128,224982
13-Feb,10.25,212500,162061,231494
14-Feb,12.09,258290,309534,275704
15-Feb,10.76,231693,226063,255327
16-Feb,7.41,111453,120237,117202
17-Feb,7.61,117444,130477,112817
18-Feb,8.73,148715,171892,149852
19-Feb,7.7,103665,133475,123450
20-Feb,9.3,161817,186411,168969
21-Feb,9.49,162058,194724,180984
22-Feb,10.83,199352,230690,230989
23-Feb,10.34,193501,219508,181819
24-Feb,9.55,176398,194260,181195
25-Feb,7.05,117279,129845,119452
26-Feb,12.25,237771,261287,259519
27-Feb,11.81,216156,249550,254033
28-Feb,9.65,129480,144689,140329
1-Mar,6.19,90011,84631,74838
2-Mar,9.41,175382,188955,161789
3-Mar,9.21,160025,180279,165162
4-Mar,7.85,120643,131654,128888
5-Mar,9.99,191994,166254,191048
6-Mar,10.59,203304,177857,214787
7-Mar,6.74,128741,64868,95436
8-Mar,6.5,100107,293913,92019
9-Mar,7.03,97854,91178,93680
10-Mar,8.6,145057,96807,148604
11-Mar,6.5,79158,146326,105792
12-Mar,4.49,34682,40693,40895
13-Mar,4.91,46519,58643,63303
14-Mar,5.09,53909,60597,56085
15-Mar,7.03,90757,103088,107689
16-Mar,3.8,32584,36579,53526
17-Mar,5.24,53681,55561,80640
18-Mar,2.6,10018,11220,9754
19-Mar,4.09,29707,27056,25797
20-Mar,4.83,66093,64818,58418
21-Mar,9.14,162166,175471,165772
22-Mar,8.23,120442,143834,138881
23-Mar,6.29,80209,86696,75644
24-Mar,6.53,88362,93209,97809
25-Mar,5.88,68915,80473,93274
26-Mar,8.07,122119,128048,134689
27-Mar,8.39,123000,141522,102907
28-Mar,9.56,123221,145568,137408
29-Mar,10.04,155744,189107,184759
30-Mar,8.77,136756,164953,148571
31-Mar,7.78,98427,129513,127343
1-Apr,7.62,100258,125931,106684
2-Apr,9.41,143987,170623,165100
3-Apr,8.56,113764,140855,135028
4-Apr,6.85,75668,44318,93321
5-Apr,6.6,60255,116813,73338
6-Apr,6.35,89943,83178,96572
7-Apr,9.67,163446,142845,165493
8-Apr,6.13,80822,74748,61069
9-Apr,5.87,62245,75387,66552
10-Apr,5.05,58315,57948,45727
11-Apr,5.85,89319,86593,70744
12-Apr,5.26,49879,56924,41774
13-Apr,4.6,42105,45637,51558
14-Apr,4.21,40822,43277,37860
15-Apr,5.08,50603,48356,49874
16-Apr,5.74,94779,82485,72722
17-Apr,7.04,126897,127192,100093
18-Apr,7.43,122329,131331,110158
19-Apr,4.9,60763,55966,33583
20-Apr,6.56,104984,111405,95856
21-Apr,4.71,38961,47168,47711
22-Apr,5.57,52177,65671,59822
23-Apr,2.2,6009,3549,2788
24-Apr,4.88,40307,48848,71137
25-Apr,3.57,14897,22381,31643
26-Apr,5.83,61183,69968,90884
27-Apr,4.08,18656,22441,25497
28-Apr,4.88,54144,58821,49750
29-Apr,4.88,38799,53056,53957
30-Apr,5.39,64334,83701,72526
1-May,6.18,66542,88955,77831
2-May,4.83,46361,57493,56725
3-May,6.23,70517,82274,84673
4-May,6.37,80746,92733,82433
5-May,7.34,100332,110836,105416
6-May,6.05,65276,81768,82791
7-May,6.41,74378,86063,80883
8-May,5.52,66540,81412,81772
9-May,5.3,50914,64263,73335
10-May,4.79,27805,40070,52876
11-May,6.92,70238,86777,121433
12-May,4.08,33645,34933,31708
13-May,5.65,46404,62854,74246
14-May,4.55,31265,39271,31397
15-May,5.52,51931,60893,85177
16-May,6.65,71609,87403,128522
17-May,4.39,31560,38520,47462
18-May,5.12,44150,51901,80445
19-May,5.47,40394,55236,66566
20-May,5.49,45321,61812,71089
21-May,5.62,52458,67454,77185
22-May,5.74,45779,64670,65210
23-May,5.6,37071,53693,72305
24-May,4.7,33414,42694,60925
25-May,5.61,43927,59827,95823
26-May,6.99,82442,94941,135174
27-May,7.24,76099,122635,170163
28-May,6.71,50321,95260,140833
29-May,6.08,46906,86191,105982
30-May,6.91,51575,40593,152483
31-May,7.53,58314,43583,184275
1-Jun,8.27,83145,58501,198100
2-Jun,6.45,48327,34354,138181
3-Jun,7.83,64562,28435,186685
4-Jun,4.9,494248,6302,85225
5-Jun,8.09,116538,427098,216494
6-Jun,7.62,91065,114597,192019
7-Jun,6.66,81438,93003,142113
8-Jun,7.49,91130,115459,184960
9-Jun,6.67,70699,90223,146134
10-Jun,6.84,67241,84527,154021
11-Jun,6.74,77712,100381,165358
12-Jun,9.33,158158,178407,260389
13-Jun,8.16,116704,132846,213561
14-Jun,7.96,103053,129860,205799
15-Jun,7.34,84114,108267,178822
16-Jun,8.96,135746,159520,239600
17-Jun,8.49,107627,126535,191400
18-Jun,9.15,148112,159263,248283
19-Jun,6.3,56883,68698,129509
20-Jun,8.83,126918,141803,241154
21-Jun,8.95,136697,160387,244685
22-Jun,7.04,96894,119089,185762
23-Jun,8.52,113683,139690,236356
24-Jun,8,83548,226386,168023
25-Jun,7.18,80823,106716,176821
26-Jun,7.34,81515,105125,175279
27-Jun,7.37,80543,99576,173857
28-Jun,6.54,69310,80652,130673
29-Jun,5.91,61369,72933,116493
30-Jun,10.34,175200,215556,321059
1-Jul,10.21,186207,204590,313688
2-Jul,8.71,151358,112609,163999
3-Jul,5.26,46753,51452,73209
4-Jul,7.45,101691,104431,155650
5-Jul,9.51,171789,180473,265366
6-Jul,9.94,194539,195780,279885
7-Jul,9.8,165757,167874,237420
8-Jul,6.45,77124,79657,134605
9-Jul,9.49,163724,175308,284448
10-Jul,7.01,85245,89671,147544
11-Jul,6.54,60681,73113,133162
12-Jul,7.65,84540,111819,191482
13-Jul,8.44,106625,148445,227479
14-Jul,5.8,52889,69284,102702
15-Jul,5.9,50325,65151,123251
16-Jul,3.39,13238,17908,21710
17-Jul,4.4,24040,24136,51836
18-Jul,7.03,86981,116791,171091
19-Jul,8.47,116148,137841,214611
20-Jul,6.65,74460,81580,148812
21-Jul,5.23,52628,59847,107097
22-Jul,7.34,72579,42502,144623
23-Jul,9.2,149140,203989,252715
24-Jul,4.75,33839,46652,69060
25-Jul,7.24,72436,102515,167296
26-Jul,6.49,65578,84406,133140
27-Jul,5.69,42205,57656,99588
28-Jul,7.74,97930,116826,178957
29-Jul,5.34,40665,55641,66085
30-Jul,5.93,51405,67569,99850
